"Title","Grid Reference","X (Easting)","Y (Northing)","Latitude","Longitude","Postcode","Address (near)","Size"
"NM591422","NM 59100 42200","159100","742200","56.509981","-5.9169503","PA72 6JW","Unnamed Road, Isle of Mull PA72, UK","2"
"NM667223","NM 66700 22300","166700","722300","56.335418","-5.7759947","PA65 6BD","A849, Isle of Mull PA65 6BD, UK","3"
"NM697269","NM 69700 26900","169700","726900","56.378125","-5.7316080","PA63 6AH","Unnamed Road, Isle of Mull PA63 6AH, UK","2"
"NM669403","NM 66900 40300","166900","740300","56.496877","-5.7887944","PA65 6BA","Unnamed Road, Isle of Mull PA65 6BA, UK","2"
"NM674257","NM 67400 25700","167400","725700","56.366242","-5.7677058","PA63 6AH","Unnamed Road, Isle of Mull PA63 6AH, UK","3"
"NM654261","NM 65400 26100","165400","726100","56.368841","-5.8003658","PA63 6AH","Unnamed Road, United Kingdom","2"
"NM637418","NM 63700 41800","163700","741800","56.508728","-5.8420152","PA65 6BA","A849, Isle of Mull PA65 6BA, UK","2"
"NM616247","NM 61600 24700","161600","724700","56.354392","-5.8604706","PA62 6AA","Unnamed Road, Isle of Mull PA62 6AA, UK","2"
"NM599427","NM 59900 42700","159900","742700","56.514872","-5.9044435","PA72 6JW","A849, Isle of Mull PA72, UK","2"
"NM632373","NM 63200 37300","163200","737300","56.468140","-5.8460314","PA65 6BA","Unnamed Road, Isle of Mull PA65 6BA, UK","2"
"NM541279","NM 54100 27900","154100","727900","56.379236","-5.9845395","PA70 6HB","Unnamed Road, Isle of Mull PA70 6HB, UK","2"
"NM556408","NM 55600 40800","155600","740800","56.495630","-5.9723681","PA72 6JU","B8035, Isle of Mull PA72 6JU, UK","2"
"NM602248","NM 60200 24800","160200","724800","56.354581","-5.8831644","PA62 6AA","Unnamed Road, Isle of Mull PA62 6AA, UK","3"
"NM716266","NM 71600 26600","171600","726600","56.376357","-5.7006467","PA63 6AH","Unnamed Road, Isle of Mull PA63 6AH, UK","2"
"NM657255","NM 65700 25500","165700","725500","56.363611","-5.7949848","PA63 6AH","Unnamed Road, Isle of Mull PA63 6AH, UK","3"
"NM610347","NM 61000 34700","161000","734700","56.443725","-5.8792765","PA70 6HG","Unnamed Road, Isle of Mull, UK","2"
"NM602250","NM 60200 25000","160200","725000","56.356374","-5.8833469","PA62 6AA","Unnamed Road, Isle of Mull PA62 6AA, UK","3"
"NM686261","NM 68600 26100","168600","726100","56.370416","-5.7486758","PA63 6AH","Unnamed Road, Isle of Mull PA63 6AH, UK","2"
"NM593247","NM 59300 24700","159300","724700","56.353228","-5.8976028","PA62 6AA","Unnamed Road, Isle of Mull PA62 6AA, UK","3"
"NM566291","NM 56600 29100","156600","729100","56.391284","-5.9452684","PA70 6HG","A849, Isle of Mull PA70 6HG, UK","3"
"NM630237","NM 63000 23700","163000","723700","56.346131","-5.8369654","PA62 6AA","Unnamed Road, Isle of Mull PA62 6AA, UK","3"
"NM648417","NM 64800 41700","164800","741700","56.508383","-5.8240925","PA65 6BA","A849, Isle of Mull PA65 6BA, UK","2"
"NM610386","NM 61000 38600","161000","738600","56.478682","-5.8828472","PA72 6JW","Unnamed Road, Isle of Mull PA72, UK","2"
"NM585235","NM 58500 23500","158500","723500","56.342065","-5.9094157","PA62 6AA","Unnamed Road, Isle of Mull PA62 6AA, UK","2"
"NM547398","NM 54700 39800","154700","739800","56.486199","-5.9860091","PA71 6HR","1 The Square, Gruline, Isle of Mull PA71 6HR, UK","1"
"NM679234","NM 67900 23400","167900","723400","56.345869","-5.7575985","PA63 6AH","Unnamed Road, Isle of Mull PA63 6AH, UK","3"
"NM574228","NM 57400 22800","157400","722800","56.335229","-5.9265228","PA62 6AA","Unnamed Road, Isle of Mull PA62 6AA, UK","3"
"NM602416","NM 60200 41600","160200","741600","56.505165","-5.8985661","PA72 6JW","Unnamed Road, Isle of Mull PA72, UK","2"
"NM628238","NM 62800 23800","162800","723800","56.346927","-5.8402840","PA62 6AA","Unnamed Road, Isle of Mull PA62 6AA, UK","1"
"NM640344","NM 64000 34400","164000","734400","56.442546","-5.8304555","PA65 6BD","Unnamed Road, Isle of Mull PA65 6BD, UK","3"
"NM617372","NM 61700 37200","161700","737200","56.466488","-5.8702299","PA65 6BA","Unnamed Road, Isle of Mull PA65 6BA, UK","4"
"NM613395","NM 61300 39500","161300","739500","56.486901","-5.8788120","PA72 6JW","Unnamed Road, Isle of Mull PA72, UK","2"
"NM662420","NM 66200 42000","166200","742000","56.511769","-5.8016659","PA65 6BA","A884, Isle of Mull PA65 6BA, UK","2"
"NM699381","NM 69900 38100","169900","738100","56.478630","-5.7382286","PA65 6BG","A849, Isle of Mull PA65 6BG, UK","1"
